source_id,company,job_id,title,location,url,role_family,fit_score,status,fit_reasons,hard_gates,soft_gaps,recommended_profile_focus
rocket-factory-augsburg,Rocket Factory Augsburg,rocket-factory-augsburg:4944174101,Institutional Project Manager (m/f/d),"Augsburg, Bavaria, Germany",https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4944174101,Construction Project Management,73,GREEN,"[{""job_evidence"": ""Institutional Project Manager (m/f/d)"", ""reason"": ""Role family is configured as an interest""}, {""job_evidence"": [""project management""], ""reason"": ""Industrial construction and project leadership""}, {""job_evidence"": [""quality""], ""reason"": ""Structural steel execution""}, {""job_evidence"": [""planning"", ""schedule""], ""reason"": ""Planning and technical documentation""}, {""job_evidence"": ""Augsburg, Bavaria, Germany"", ""reason"": ""Preferred location""}]",[],[],C
rocket-factory-augsburg,Rocket Factory Augsburg,rocket-factory-augsburg:4943429101,Head of Quality (f/m/d),"Augsburg, Bavaria, Germany",https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4943429101,Not relevant,38,RED,"[{""job_evidence"": [""project management""], ""reason"": ""Industrial construction and project leadership""}, {""job_evidence"": [""defects"", ""quality""], ""reason"": ""Structural steel execution""}, {""job_evidence"": [""manufacturing"", ""production""], ""reason"": ""Large industrial project execution""}, {""job_evidence"": [""documentation"", ""schedule""], ""reason"": ""Planning and technical documentation""}, {""job_evidence"": ""Augsburg, Bavaria, Germany"", ""reason"": ""Preferred location""}]",[],[],A
rocket-factory-augsburg,Rocket Factory Augsburg,rocket-factory-augsburg:4947686101,Head of Production (m/f/d),"Augsburg, Bavaria, Germany",https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4947686101,Not relevant,36,RED,"[{""job_evidence"": [""project management""], ""reason"": ""Industrial construction and project leadership""}, {""job_evidence"": [""quality""], ""reason"": ""Structural steel execution""}, {""job_evidence"": [""manufacturing"", ""production""], ""reason"": ""Large industrial project execution""}, {""job_evidence"": [""planning"", ""schedule""], ""reason"": ""Planning and technical documentation""}, {""job_evidence"": ""Augsburg, Bavaria, Germany"", ""reason"": ""Preferred location""}]",[],[],A
rocket-factory-augsburg,Rocket Factory Augsburg,rocket-factory-augsburg:4829285101,Avionics Hardware Technician (f/m/d),"Augsburg, Bavaria, Germany",https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4829285101,Other,34,RED,"[{""job_evidence"": [""assembly"", ""installation"", ""quality""], ""reason"": ""Structural steel execution""}, {""job_evidence"": [""manufacturing"", ""production""], ""reason"": ""Large industrial project execution""}, {""job_evidence"": [""documentation"", ""schedule""], ""reason"": ""Planning and technical documentation""}, {""job_evidence"": ""Augsburg, Bavaria, Germany"", ""reason"": ""Preferred location""}]",[],[],A
rocket-factory-augsburg,Rocket Factory Augsburg,rocket-factory-augsburg:4979565101,Procurement Manager (f/m/d),"Augsburg, Bavaria, Germany",https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4979565101,Other,34,RED,"[{""job_evidence"": [""project management""], ""reason"": ""Industrial construction and project leadership""}, {""job_evidence"": [""quality""], ""reason"": ""Structural steel execution""}, {""job_evidence"": [""manufacturing"", ""production""], ""reason"": ""Large industrial project execution""}, {""job_evidence"": [""schedule""], ""reason"": ""Planning and technical documentation""}, {""job_evidence"": ""Augsburg, Bavaria, Germany"", ""reason"": ""Preferred location""}]",[],[],A
rocket-factory-augsburg,Rocket Factory Augsburg,rocket-factory-augsburg:4914898101,Avionics Quality Engineer (m/f/d),"Augsburg, Bavaria, Germany",https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4914898101,Other,30,RED,"[{""job_evidence"": [""defects"", ""quality""], ""reason"": ""Structural steel execution""}, {""job_evidence"": [""manufacturing"", ""production""], ""reason"": ""Large industrial project execution""}, {""job_evidence"": [""schedule""], ""reason"": ""Planning and technical documentation""}, {""job_evidence"": ""Augsburg, Bavaria, Germany"", ""reason"": ""Preferred location""}]",[],[],A
rocket-factory-augsburg,Rocket Factory Augsburg,rocket-factory-augsburg:4944342101,Harness & Electrical Assembly Technician (m/f/d),"Augsburg, Bavaria, Germany",https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4944342101,Utilities / Power,30,RED,"[{""job_evidence"": [""assembly"", ""quality""], ""reason"": ""Structural steel execution""}, {""job_evidence"": [""manufacturing""], ""reason"": ""Large industrial project execution""}, {""job_evidence"": [""documentation"", ""schedule""], ""reason"": ""Planning and technical documentation""}, {""job_evidence"": ""Augsburg, Bavaria, Germany"", ""reason"": ""Preferred location""}]",[],[],A
rocket-factory-augsburg,Rocket Factory Augsburg,rocket-factory-augsburg:4826694101,Intern (f/m/d) Avionics Production,"Augsburg, Bavaria, Germany",https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4826694101,Not relevant,30,RED,"[{""job_evidence"": [""quality""], ""reason"": ""Structural steel execution""}, {""job_evidence"": [""manufacturing"", ""production""], ""reason"": ""Large industrial project execution""}, {""job_evidence"": [""documentation"", ""schedule""], ""reason"": ""Planning and technical documentation""}, {""job_evidence"": ""Augsburg, Bavaria, Germany"", ""reason"": ""Preferred location""}]",[],[],A
rocket-factory-augsburg,Rocket Factory Augsburg,rocket-factory-augsburg:4877177101,Propulsion Production Engineer (m/f/d),"Augsburg, Bavaria, Germany",https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4877177101,Other,30,RED,"[{""job_evidence"": [""assembly"", ""quality""], ""reason"": ""Structural steel execution""}, {""job_evidence"": [""manufacturing"", ""production""], ""reason"": ""Large industrial project execution""}, {""job_evidence"": [""schedule""], ""reason"": ""Planning and technical documentation""}, {""job_evidence"": ""Augsburg, Bavaria, Germany"", ""reason"": ""Preferred location""}]",[],[],A
rocket-factory-augsburg,Rocket Factory Augsburg,rocket-factory-augsburg:4833743101,Propulsion Test Technician,"Augsburg, Bavaria, Germany",https://job-boards.eu.greenhouse.io/rocketfactoryaugsburgag/jobs/4833743101,Other,30,RED,"[{""job_evidence"": [""assembly"", ""quality""], ""reason"": ""Structural steel execution""}, {""job_evidence"": [""commissioning""], ""reason"": ""Large industrial project execution""}, {""job_evidence"": [""documentation"", ""schedule""], ""reason"": ""Planning and technical documentation""}, {""job_evidence"": ""Augsburg, Bavaria, Germany"", ""reason"": ""Preferred location""}]",[],[],A
